"No.","Time","Source","Destination","Protocol","Length","Info"
"173","46.547952","37.115.148.29","192.168.0.2","TELNET","84","Telnet Data ..."
"174","46.548693","192.168.0.2","37.115.148.29","TCP","66","23  >  45100 [ACK] Seq=31 Ack=22 Win=28960 Len=0 TSval=33251 TSecr=29181967"
"175","46.673842","37.115.148.29","192.168.0.2","TELNET","72","Telnet Data ..."
"176","46.674271","192.168.0.2","37.115.148.29","TCP","66","23  >  45100 [ACK] Seq=31 Ack=28 Win=28960 Len=0 TSval=33263 TSecr=29181999"
"177","46.680372","192.168.0.2","37.115.148.29","TELNET","82","Telnet Data ..."
"178","46.805692","37.115.148.29","192.168.0.2","TELNET","72","Telnet Data ..."
"179","46.845098","192.168.0.2","37.115.148.29","TCP","66","23  >  45100 [ACK] Seq=47 Ack=34 Win=28960 Len=0 TSval=33281 TSecr=29182032"
"180","46.970395","37.115.148.29","192.168.0.2","TELNET","68","Telnet Data ..."
"181","46.970774","192.168.0.2","37.115.148.29","TCP","66","23  >  45100 [ACK] Seq=47 Ack=36 Win=28960 Len=0 TSval=33293 TSecr=29182073"
"182","46.972099","192.168.0.2","37.115.148.29","TELNET","68","Telnet Data ..."
"183","47.136723","37.115.148.29","192.168.0.2","TCP","66","45100  >  23 [ACK] Seq=36 Ack=49 Win=5840 Len=0 TSval=29182115 TSecr=33293"
"184","49.269486","192.168.0.2","84.196.158.177","TELNET","83","Telnet Data ..."
"185","49.272278","192.168.0.2","84.196.158.177","TCP","66","23  >  39582 [FIN, ACK] Seq=169 Ack=66 Win=28960 Len=0 TSval=33523 TSecr=9209492"
"186","49.366292","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=66 Ack=169 Win=5840 Len=0 TSval=9210233 TSecr=33523"
"187","49.377282","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [FIN, ACK] Seq=66 Ack=170 Win=5840 Len=0 TSval=9210234 TSecr=33523"
"188","49.377720","192.168.0.2","84.196.158.177","TCP","66","23  >  39582 [ACK] Seq=170 Ack=67 Win=28960 Len=0 TSval=33534 TSecr=9210234"
"189","49.382485","84.196.158.177","192.168.0.2","TCP","74","39628  >  23 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=9210234 TSecr=0 WS=2"
"190","49.383103","192.168.0.2","84.196.158.177","TCP","74","23  >  39628 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=33534 TSecr=9210234 WS=16"
"191","49.515276","84.196.158.177","192.168.0.2","TCP","66","39628  >  23 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=9210262 TSecr=33534"
"192","49.517140","192.168.0.2","84.196.158.177","TELNET","78","Telnet Data ..."
"193","49.616739","84.196.158.177","192.168.0.2","TCP","66","39628  >  23 [ACK] Seq=1 Ack=13 Win=5840 Len=0 TSval=9210295 TSecr=33548"
